what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1334886859226
processors,sysinfo,,,"8",1334886859226
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334886859226
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1334886859226
java.specification.name,sysinfo,,,"Java Platform API Specification",1334886859226
java.specification.vendor,sysinfo,,,"Oracle Corporation",1334886859226
java.specification.version,sysinfo,,,"1.7",1334886859226
java.vendor,sysinfo,,,"Oracle Corporation",1334886859226
java.version,sysinfo,,,"1.7.0_03",1334886859226
java.vm.info,sysinfo,,,"mixed mode",1334886859226
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1334886859226
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334886859226
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1334886859226
java.vm.specification.version,sysinfo,,,"1.7",1334886859226
java.vm.vendor,sysinfo,,,"Oracle Corporation",1334886859226
java.vm.version,sysinfo,,,"22.1-b02",1334886859226
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1334886859251
started,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1334886859261
started,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1334886859343
started,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1334886859351
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1334886859913
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1334886859917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334886859959
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1334886860289
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1334886860352
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1334886860354
error,log,,,"DDMS files not found: C:\\Program Files\\eclipse\\platform-tools\\adb.exe C:\\Program Files\\eclipse\\tools\\hprof-conv.exe C:\\Program Files\\eclipse\\tools\\traceview.bat ",1334886860377
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1334886860383
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1334886860571
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1334886860670
started,bundle,org.python.pydev.core,2.2.4.2011110216,"org.python.pydev.core",1334886860743
started,bundle,org.python.pydev.debug,2.2.4.2011110216,"org.python.pydev.debug",1334886860751
started,bundle,com.python.pydev.analysis,2.2.4.2011110216,"com.python.pydev.analysis",1334886860816
started,bundle,org.python.pydev,2.2.4.2011110216,"org.python.pydev",1334886861121
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1334886861187
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1334886861348
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1334886861510
error,log,,,"Server returned HTTP response code: 500 for URL: https://ping.aptana.com/ping.php",1334886861863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334886865081
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334886878848
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334886878850
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1334886878852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334886888387
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1334886893792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334886895808
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1334886895827
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334886901240
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334886901310
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334886904640
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334886904640
